"","time","country","province","cum_confirm","cum_heal","cum_dead"
"272","2020-03-27","United Kingdom","Northern Ireland",241,0,10
"273","2020-03-16","United Kingdom","England",0,0,0
"274","2020-03-16","United Kingdom","Scotland",0,0,0
"275","2020-03-16","United Kingdom","Wales",0,0,0
"276","2020-03-16","United Kingdom","Northern Ireland",0,0,0
"277","2020-03-17","United Kingdom","England",0,0,0
"278","2020-03-17","United Kingdom","Scotland",0,0,0
"279","2020-03-17","United Kingdom","Wales",0,0,0
"280","2020-03-17","United Kingdom","Northern Ireland",0,0,0
"281","2020-03-18","United Kingdom","England",1196,0,48
"282","2020-03-18","United Kingdom","Scotland",153,0,1
"283","2020-03-18","United Kingdom","Wales",124,0,0
"284","2020-03-18","United Kingdom","Northern Ireland",52,0,0
"285","2020-03-19","United Kingdom","England",2182,0,48
"286","2020-03-19","United Kingdom","Scotland",227,0,1
"287","2020-03-19","United Kingdom","Wales",149,0,0
"288","2020-03-19","United Kingdom","Northern Ireland",68,0,0
"289","2020-03-20","United Kingdom","England",2756,0,128
"290","2020-03-20","United Kingdom","Scotland",266,0,6
"291","2020-03-20","United Kingdom","Wales",170,0,2
"292","2020-03-20","United Kingdom","Northern Ireland",77,0,1
"293","2020-03-21","United Kingdom","England",3384,0,128
"294","2020-03-21","United Kingdom","Scotland",322,0,6
"295","2020-03-21","United Kingdom","Wales",191,0,3
"296","2020-03-21","United Kingdom","Northern Ireland",86,0,1
"297","2020-03-22","United Kingdom","England",4257,0,181
"298","2020-03-22","United Kingdom","Scotland",373,0,7
"299","2020-03-22","United Kingdom","Wales",280,0,5
"300","2020-03-22","United Kingdom","Northern Ireland",108,0,1
"301","2020-03-23","United Kingdom","England",4792,0,181
"302","2020-03-23","United Kingdom","Scotland",416,0,7
"303","2020-03-23","United Kingdom","Wales",347,0,5
"304","2020-03-23","United Kingdom","Northern Ireland",128,0,1
"305","2020-03-24","United Kingdom","England",6483,0,386
"306","2020-03-24","United Kingdom","Scotland",584,0,16
"307","2020-03-24","United Kingdom","Wales",478,0,17
"308","2020-03-24","United Kingdom","Northern Ireland",172,0,3
"309","2020-03-25","United Kingdom","England",7973,0,414
"310","2020-03-25","United Kingdom","Scotland",719,0,22
"311","2020-03-25","United Kingdom","Wales",628,0,22
"312","2020-03-25","United Kingdom","Northern Ireland",209,0,5
"313","2020-03-26","United Kingdom","England",7973,0,414
"314","2020-03-26","United Kingdom","Scotland",719,0,22
"315","2020-03-26","United Kingdom","Wales",628,0,22
"316","2020-03-26","United Kingdom","Northern Ireland",209,0,5
"317","2020-03-27","United Kingdom","England",9782,0,521
"318","2020-03-27","United Kingdom","Scotland",894,0,25
"319","2020-03-27","United Kingdom","Wales",741,0,28
"320","2020-03-27","United Kingdom","Northern Ireland",241,0,10
"321","2020-03-28","United Kingdom","England",12288,0,679
"322","2020-03-28","United Kingdom","Scotland",1059,0,33
"323","2020-03-28","United Kingdom","Wales",921,0,34
"324","2020-03-28","United Kingdom","Northern Ireland",275,0,13
"325","2020-03-16","United Kingdom","England",0,0,0
"326","2020-03-16","United Kingdom","Scotland",0,0,0
"327","2020-03-16","United Kingdom","Wales",0,0,0
"328","2020-03-16","United Kingdom","Northern Ireland",0,0,0
"329","2020-03-17","United Kingdom","England",0,0,0
"330","2020-03-17","United Kingdom","Scotland",0,0,0
"331","2020-03-17","United Kingdom","Wales",0,0,0
"332","2020-03-17","United Kingdom","Northern Ireland",0,0,0
"333","2020-03-18","United Kingdom","England",1196,0,48
"334","2020-03-18","United Kingdom","Scotland",153,0,1
"335","2020-03-18","United Kingdom","Wales",124,0,0
"336","2020-03-18","United Kingdom","Northern Ireland",52,0,0
"337","2020-03-19","United Kingdom","England",2182,0,48
"338","2020-03-19","United Kingdom","Scotland",227,0,1
"339","2020-03-19","United Kingdom","Wales",149,0,0
"340","2020-03-19","United Kingdom","Northern Ireland",68,0,0
"341","2020-03-20","United Kingdom","England",2756,0,128
"342","2020-03-20","United Kingdom","Scotland",266,0,6
"343","2020-03-20","United Kingdom","Wales",170,0,2
"344","2020-03-20","United Kingdom","Northern Ireland",77,0,1
"345","2020-03-21","United Kingdom","England",3384,0,128
"346","2020-03-21","United Kingdom","Scotland",322,0,6
"347","2020-03-21","United Kingdom","Wales",191,0,3
"348","2020-03-21","United Kingdom","Northern Ireland",86,0,1
"349","2020-03-22","United Kingdom","England",4257,0,181
"350","2020-03-22","United Kingdom","Scotland",373,0,7
"351","2020-03-22","United Kingdom","Wales",280,0,5
