time,country,province,city,cum_confirm,cum_heal,cum_dead
1/23/20,China,Guangdong,Qingyuan,1,0,0
1/23/20,China,Guangdong,Zhongshan,2,0,0
1/23/20,China,Guangxi,Liuzhou,2,0,0
1/23/20,China,Guangxi,Guilin,2,0,0
1/23/20,China,Guangxi,Wuzhou,1,0,0
1/23/20,China,Guangxi,Beihai,6,0,0
1/23/20,China,Guangxi,Baise,1,0,0
1/23/20,China,Guangxi,Hechi,1,0,0
1/23/20,China,Xinjiang,ÜrümqiÜrümqi,2,0,0
1/23/20,China,Jiangsu,Nanjing,3,0,0
1/23/20,China,Jiangsu,Wuxi,1,0,0
1/23/20,China,Jiangsu,Suzhou,2,0,0
1/23/20,China,Jiangsu,Nantong,1,0,0
1/23/20,China,Jiangsu,Lianyungang,1,0,0
1/23/20,China,Jiangsu,Yangzhou,1,0,0
1/23/20,China,Jiangxi,Nanchang,2,0,0
1/23/20,China,Jiangxi,Pingxiang,1,0,0
1/23/20,China,Jiangxi,Jiujiang,1,0,0
1/23/20,China,Jiangxi,Xinyu,1,0,0
1/23/20,China,Jiangxi,Ji'an,1,0,0
1/23/20,China,Jiangxi,Fuzhou,1,0,0
1/23/20,China,Hebei,Shijiazhuang,1,0,0
1/23/20,China,Hebei,Cangzhou,1,0,1
1/23/20,China,Henan,Zhengzhou,3,0,0
1/23/20,China,Henan,Gongyi,2,0,0
1/23/20,China,Henan,Luoyang,1,0,0
1/23/20,China,Henan,Sanmenxia,1,0,0
1/23/20,China,Henan,Xinyang,1,0,0
1/23/20,China,Henan,Zhoukou,1,0,0
1/23/20,China,Zhejiang,Hangzhou,6,0,0
1/23/20,China,Zhejiang,Ningbo,5,0,0
1/23/20,China,Zhejiang,Wenzhou,1,1,0
1/23/20,China,Zhejiang,Jiaxing,1,0,0
1/23/20,China,Zhejiang,Shaoxing,1,0,0
1/23/20,China,Zhejiang,Jinhua,1,0,0
1/23/20,China,Zhejiang,Quzhou,2,0,0
1/23/20,China,Zhejiang,Zhoushan,1,0,0
1/23/20,China,Zhejiang,Taizhou,4,0,0
1/23/20,China,Hainan,Haikou,3,0,0
1/23/20,China,Hainan,Sanya,2,0,0
1/23/20,China,Hainan,Wanning,2,0,0
1/23/20,China,Hainan,Lingao County,1,0,0
1/23/20,China,Hubei,Wuhan,495,31,23
1/23/20,China,Hubei,Jingmen,8,0,0
