"","time","country","cum_confirm","cum_heal","cum_dead"
"101","2020-01-26","Nepal",1,0,0
"102","2020-01-26","Thailand",7,0,0
"103","2020-01-26","Singapore",4,0,0
"104","2020-01-26","Vietnam",2,0,0
"105","2020-01-26","China",2744,51,80
"106","2020-01-27","Australia",5,0,0
"107","2020-01-27","Pakistan",0,0,0
"108","2020-01-27","France",3,0,0
"109","2020-01-27","South Korea",4,0,0
"110","2020-01-27","Canada",1,0,0
"111","2020-01-27","Malaysia",4,0,0
"112","2020-01-27","United States",5,0,0
"113","2020-01-27","Nepal",1,0,0
"114","2020-01-27","Thailand",8,2,0
"115","2020-01-27","Singapore",4,0,0
"116","2020-01-27","Vietnam",2,0,0
"117","2020-01-27","China",4515,60,106
"118","2020-01-28","Australia",5,0,0
"119","2020-01-28","Germany",1,0,0
"120","2020-01-28","France",3,0,0
"121","2020-01-28","South Korea",4,0,0
"122","2020-01-28","Canada",2,0,0
"123","2020-01-28","Malaysia",4,0,0
"124","2020-01-28","United States",5,0,0
"125","2020-01-28","Nepal",1,0,0
"126","2020-01-28","Japan",6,1,0
"127","2020-01-28","Sri Lanka",1,0,0
"128","2020-01-28","Thailand",14,2,0
"129","2020-01-28","Singapore",7,0,0
"130","2020-01-28","Vietnam",2,0,0
"131","2020-01-28","China",5974,103,132
"132","2020-01-29","United Arab Emirates",4,0,0
"133","2020-01-29","Australia",7,0,0
"134","2020-01-29","Germany",4,0,0
"135","2020-01-29","France",4,0,0
"136","2020-01-29","South Korea",4,0,0
"137","2020-01-29","Canada",2,0,0
"138","2020-01-29","Malaysia",7,0,0
"139","2020-01-29","United States",5,0,0
"140","2020-01-29","Nepal",1,0,0
"141","2020-01-29","Sri Lanka",1,0,0
"142","2020-01-29","Thailand",14,2,0
"143","2020-01-29","Singapore",10,0,0
"144","2020-01-29","Vietnam",2,0,0
"145","2020-01-29","China",7711,124,170
"146","2020-01-30","United Arab Emirates",4,0,0
"147","2020-01-30","Australia",8,2,0
"148","2020-01-30","Germany",4,0,0
"149","2020-01-30","France",5,0,0
"150","2020-01-30","Philippines",1,0,0
"151","2020-01-30","Finland",1,0,0
"152","2020-01-30","South Korea",6,0,0
"153","2020-01-30","Canada",3,0,0
"154","2020-01-30","Malaysia",8,0,0
"155","2020-01-30","United States",5,0,0
"156","2020-01-30","Nepal",1,0,0
"157","2020-01-30","Sri Lanka",1,0,0
"158","2020-01-30","Thailand",14,2,0
"159","2020-01-30","Singapore",10,0,0
"160","2020-01-30","India",1,0,0
"161","2020-01-30","Vietnam",2,0,0
